"Number","x","y","Species","DBH","Height","CrownRadius","CrownDiameter","CrownArea","CrownBaseHeight","CrownLength","CanopyFuelMass","MortalityProbability","Status"
13,19.8591326223686,16.6010910179466,"JUSO",21.9195341603198,7.95786981050644,2.1265832679603,4.2531665359206,14.2074016292335,1.3,6.65786981050644,75.6307755762123,0,"live"
14,1.5546004101634,5.80269398167729,"PIED",17.6658785312611,7.88083298765447,1.79416101865322,3.58832203730643,10.1128299829057,1.3,6.58083298765447,69.1597520245059,0,"live"
15,8.32162513863295,17.6367960451171,"PIED",9.17652284945623,5.35960421048656,1.34898393221962,2.69796786443923,5.71693726262709,1.3,4.05960421048656,18.2980805683257,0,"live"
16,7.14425445068628,14.4468890642747,"PIED",10.3821592016973,5.7789219476546,1.4246778016531,2.84935560330619,6.37651209284514,1.3,4.4789219476546,23.5089314234339,0,"live"
17,6.25035765580833,14.5094728702679,"JUSO",23.7188031511051,8.24541135000323,2.21072267889099,4.42144535778199,15.3538893232523,1.3,6.94541135000323,87.452833350688,0,"live"
18,11.3282644608989,16.8604425666854,"PIED",14.263841957413,6.98433053724623,1.63727961393356,3.27455922786711,8.42161883924209,1.3,5.68433053724624,44.7990724683161,0,"live"
19,5.1969806663692,12.340578106232,"PIED",31.0719654906467,10.3356191155343,2.25004475013242,4.50008950026484,15.9049454551822,1.39542100611267,8.94019810942165,217.609275926131,0,"live"
20,16.2737395567819,18.1766118854284,"JUSO",7.93340638112553,4.57444282109426,1.22466470720031,2.44932941440062,4.71177211315404,1.3,3.27444282109426,11.6448367214704,0,"live"
21,9.97164666187018,1.03869215585291,"PIED",28.6723891612142,9.99760112060879,2.18239312608943,4.36478625217887,14.9629023901958,1.37784179864398,8.61975932196481,184.850475441686,0,"live"
22,16.5912008425221,0.552107426337898,"PIED",19.6107541206774,8.33495324506807,1.87438404346624,3.74876808693248,11.0374062977493,1.3,7.03495324506807,85.4933447428594,0,"live"
23,7.73218206595629,0.405717766843736,"JUSO",29.8631916896911,9.05338304645404,2.46241805809411,4.92483611618822,19.0490555148103,1.3,7.75338304645404,133.645357861106,0,"live"
24,11.9092002557591,8.23496275581419,"PIED",14.0407545092762,6.92060862606942,1.62613907940153,3.25227815880307,8.307402378417,1.3,5.62060862606942,43.388186273643,0,"live"
25,19.2521101143211,13.8973409682512,"PIED",7.62794300000952,4.78653340768309,1.24298179759055,2.4859635951811,4.85377242807143,1.3,3.48653340768309,12.5734943716491,0,"live"
26,18.0095068830997,12.6735732657835,"PIED",5.85327538245165,4.0787624084625,1.10616225558735,2.21232451117471,3.84403686092114,1.3,2.7787624084625,7.3449488080195,0,"live"
27,9.52063942328095,4.88216281402856,"PIED",14.4766006251529,7.04450910249153,1.64779742343064,3.29559484686128,8.53016656572486,1.3,5.74450910249153,46.1659816876341,0,"live"
28,0.541074676439166,19.6879404364154,"PIED",28.2355327235514,9.93203845948399,2.16954608376768,4.33909216753536,14.7872573674131,1.37356150101683,8.55847695846716,179.178023658228,0,"live"
29,8.91963583417237,7.73133815266192,"PIED",20.5351335253771,8.53724805378457,1.91045205427139,3.82090410854278,11.4662698523991,1.3,7.23724805378457,93.872606860579,0,"live"
30,18.7766976235434,6.26310571562499,"PIED",12.2894319731345,6.39751003502131,1.53441009762731,3.06882019525462,7.39661081824279,1.3,5.09751003502131,33.1068959947006,0,"live"
31,0.673592193052173,15.0261808140203,"JUSO",19.4213449634558,7.51321321761807,2.00041105434576,4.00082210869151,12.5715366064319,1.3,6.21321321761807,60.5271589240683,0,"live"
32,11.5631445962936,5.88278458919376,"PIED",16.6017777753334,7.6150254534191,1.74753326638308,3.49506653276616,9.5940234647699,1.3,6.3150254534191,60.9653007764042,0,"live"
34,18.3570310706273,2.58855595719069,"PIED",7.68859204033504,4.80973674097282,1.24734430262761,2.49468860525522,4.88790287964607,1.3,3.50973674097282,12.7772658262753,0,"live"
35,7.37973902840167,16.9965378893539,"PIED",33.1854842148709,10.604564302517,2.30586912340041,4.61173824680083,16.703949971511,1.40362388959126,9.20094041292579,248.710232142594,0,"live"
36,16.1042868066579,3.64631466567516,"JUSO",22.5314692670375,8.0585795972667,2.15579746181277,4.31159492362553,14.6004346647121,1.3,6.7585795972667,79.563446347096,0,"live"
37,10.3413201030344,15.1570036541671,"PIED",30.7443341626929,10.2915902633075,2.24108637016046,4.48217274032092,15.7785489440282,1.39357502753026,8.89801523577728,212.976667292108,0,"live"
