"iteration","energy","clark_evans_r","canopy_cover","cbd","cbd_mean","cfl","canopy_depth","n_trees","accepted"
3300,715.699730303691,0.969304015177119,0.46375,0.994842739758874,0.994842739758874,4.80597992540696,5.76781843039818,32,TRUE
3400,763.961954546726,0.94615382005956,0.525,0.938384132365199,0.938384132365199,4.93941189483746,5.53176071341896,37,TRUE
3500,664.648511623009,0.964894052315975,0.476875,0.94562984230457,0.94562984230457,4.6937068636712,5.68862693988674,32,TRUE
3600,995.604665775283,1.03500044387835,0.5875,0.976315356798474,0.976315356798474,5.520497997772,5.53635940412861,38,TRUE
3700,1097.33991028847,1.15485515580342,0.563125,1.00864888111731,1.00864888111731,5.71898314919961,5.9396452907163,35,TRUE
3800,739.285148227887,0.937117897450699,0.51125,0.950830754052584,0.950830754052584,4.89154625830317,5.67954062116311,35,TRUE
3900,763.643064262231,0.862159451958925,0.5125,0.981904280693714,0.981904280693714,4.93866459590927,5.33539004460906,38,TRUE
4000,861.930798815211,1.02789612260193,0.565,1.01348785786999,1.01348785786999,5.16137555686013,5.45358631387481,36,TRUE
4100,641.235463590123,0.87062541815399,0.449375,0.994118250577518,0.994118250577518,4.60850992972286,5.50973980894953,33,TRUE
4200,682.324069419734,0.978227271943886,0.50875,0.974733740495792,0.974733740495792,4.71667659375255,5.44374605802863,36,TRUE
4300,547.428643251275,0.91825435305298,0.475625,0.952600342408958,0.952600342408958,4.34721231355333,5.1902987949329,36,TRUE
4400,448.683110861413,0.987922215459033,0.50375,0.953058466311349,0.953058466311349,4.0059747837228,5.09674328501974,36,FALSE
4500,634.537827814918,0.89816713846023,0.53375,0.978432525508379,0.978432525508379,4.59740861112167,5.21827827621283,37,TRUE
4600,706.028107062954,0.904654497056388,0.494375,0.976182635905032,0.976182635905032,4.80339245079499,5.39138239568936,36,TRUE
4700,620.244680418627,0.993968981551944,0.4725,1.02283800625127,1.02283800625127,4.47930664628605,5.50634548649695,32,TRUE
4800,690.699654595462,1.10389552937273,0.535,1.00513294801968,1.00513294801968,4.69185852887502,5.54041592351417,34,TRUE
4900,905.255759382133,0.936576925205207,0.508125,1.02667203391693,1.02667203391693,5.26859563155502,5.73102157346507,34,TRUE
5000,1062.88202062566,1.05200498290752,0.6125,0.978385300196459,0.978385300196459,5.63576750562645,5.81199021345758,37,TRUE
